criteria_mode,spec,qid,replicate,question,p
empty,joint_bounds,both,14,"Will Bitcoin reach both $1,000,000 and $10,000,000 by December 31, 2035?",0.06
omitted,complement,yes,95,"Will Bitcoin reach $1,000,000 by December 31, 2035?",0.12
omitted,complement,no,95,"Will Bitcoin fail to reach $1,000,000 by December 31, 2035?",0.92
empty,nested_time,short,81,"Will Bitcoin reach $1,000,000 by December 31, 2030?",0.06
empty,nested_time,long,81,"Will Bitcoin reach $1,000,000 by December 31, 2035?",0.12
empty,partition,above,24,"Will Bitcoin's USD daily closing price on December 31, 2035 be above $1,000,000?",0.2
empty,partition,not_above,24,"Will Bitcoin's USD daily closing price on December 31, 2035 be at or below $1,000,000?",0.7
paired,partition,above,51,"Will Bitcoin's USD daily closing price on December 31, 2035 be above $1,000,000?",0.24
paired,partition,not_above,51,"Will Bitcoin's USD daily closing price on December 31, 2035 be at or below $1,000,000?",0.73
paired,nested_threshold,lower,42,"Will Bitcoin reach $1,000,000 by December 31, 2035?",0.12
paired,nested_threshold,higher,42,"Will Bitcoin reach $100,000,000 by December 31, 2035?",0.04
empty,joint_bounds,one,43,"Will Bitcoin reach $1,000,000 by December 31, 2035?",0.11
empty,joint_bounds,ten,43,"Will Bitcoin reach $10,000,000 by December 31, 2035?",0.04
empty,joint_bounds,both,43,"Will Bitcoin reach both $1,000,000 and $10,000,000 by December 31, 2035?",0.06
empty,partition,above,55,"Will Bitcoin's USD daily closing price on December 31, 2035 be above $1,000,000?",0.19
empty,partition,not_above,55,"Will Bitcoin's USD daily closing price on December 31, 2035 be at or below $1,000,000?",0.72
omitted,nested_threshold,lower,14,"Will Bitcoin reach $1,000,000 by December 31, 2035?",0.1
omitted,nested_threshold,higher,14,"Will Bitcoin reach $100,000,000 by December 31, 2035?",0.03
omitted,nested_time,short,25,"Will Bitcoin reach $1,000,000 by December 31, 2030?",0.05
omitted,nested_time,long,25,"Will Bitcoin reach $1,000,000 by December 31, 2035?",0.11
paired,nested_time,short,40,"Will Bitcoin reach $1,000,000 by December 31, 2030?",0.05
paired,nested_time,long,40,"Will Bitcoin reach $1,000,000 by December 31, 2035?",0.13
paired,complement,yes,37,"Will Bitcoin reach $1,000,000 by December 31, 2035?",0.21
paired,complement,no,37,"Will Bitcoin fail to reach $1,000,000 by December 31, 2035?",0.77
omitted,joint_bounds,one,15,"Will Bitcoin reach $1,000,000 by December 31, 2035?",0.11
omitted,joint_bounds,ten,15,"Will Bitcoin reach $10,000,000 by December 31, 2035?",0.02
omitted,joint_bounds,both,15,"Will Bitcoin reach both $1,000,000 and $10,000,000 by December 31, 2035?",0.03
empty,nested_time,short,57,"Will Bitcoin reach $1,000,000 by December 31, 2030?",0.07
empty,nested_time,long,57,"Will Bitcoin reach $1,000,000 by December 31, 2035?",0.1
paired,complement,yes,46,"Will Bitcoin reach $1,000,000 by December 31, 2035?",0.2
paired,complement,no,46,"Will Bitcoin fail to reach $1,000,000 by December 31, 2035?",0.77
omitted,joint_bounds,one,94,"Will Bitcoin reach $1,000,000 by December 31, 2035?",0.12
omitted,joint_bounds,ten,94,"Will Bitcoin reach $10,000,000 by December 31, 2035?",0.03
omitted,joint_bounds,both,94,"Will Bitcoin reach both $1,000,000 and $10,000,000 by December 31, 2035?",0.04
omitted,complement,yes,12,"Will Bitcoin reach $1,000,000 by December 31, 2035?",0.1
omitted,complement,no,12,"Will Bitcoin fail to reach $1,000,000 by December 31, 2035?",0.91
paired,complement,yes,86,"Will Bitcoin reach $1,000,000 by December 31, 2035?",0.19
paired,complement,no,86,"Will Bitcoin fail to reach $1,000,000 by December 31, 2035?",0.78
omitted,complement,yes,86,"Will Bitcoin reach $1,000,000 by December 31, 2035?",0.1
omitted,complement,no,86,"Will Bitcoin fail to reach $1,000,000 by December 31, 2035?",0.92
omitted,nested_time,short,2,"Will Bitcoin reach $1,000,000 by December 31, 2030?",0.05
omitted,nested_time,long,2,"Will Bitcoin reach $1,000,000 by December 31, 2035?",0.11
empty,complement,yes,46,"Will Bitcoin reach $1,000,000 by December 31, 2035?",0.11
empty,complement,no,46,"Will Bitcoin fail to reach $1,000,000 by December 31, 2035?",0.83
empty,joint_bounds,one,58,"Will Bitcoin reach $1,000,000 by December 31, 2035?",0.11
empty,joint_bounds,ten,58,"Will Bitcoin reach $10,000,000 by December 31, 2035?",0.04
empty,joint_bounds,both,58,"Will Bitcoin reach both $1,000,000 and $10,000,000 by December 31, 2035?",0.06
paired,nested_time,short,12,"Will Bitcoin reach $1,000,000 by December 31, 2030?",0.06
paired,nested_time,long,12,"Will Bitcoin reach $1,000,000 by December 31, 2035?",0.13
paired,partition,above,47,"Will Bitcoin's USD daily closing price on December 31, 2035 be above $1,000,000?",0.23
paired,partition,not_above,47,"Will Bitcoin's USD daily closing price on December 31, 2035 be at or below $1,000,000?",0.72
omitted,nested_time,short,52,"Will Bitcoin reach $1,000,000 by December 31, 2030?",0.05
omitted,nested_time,long,52,"Will Bitcoin reach $1,000,000 by December 31, 2035?",0.09
omitted,joint_bounds,one,34,"Will Bitcoin reach $1,000,000 by December 31, 2035?",0.11
omitted,joint_bounds,ten,34,"Will Bitcoin reach $10,000,000 by December 31, 2035?",0.02
omitted,joint_bounds,both,34,"Will Bitcoin reach both $1,000,000 and $10,000,000 by December 31, 2035?",0.03
empty,joint_bounds,one,78,"Will Bitcoin reach $1,000,000 by December 31, 2035?",0.1
empty,joint_bounds,ten,78,"Will Bitcoin reach $10,000,000 by December 31, 2035?",0.03
empty,joint_bounds,both,78,"Will Bitcoin reach both $1,000,000 and $10,000,000 by December 31, 2035?",0.06
empty,complement,yes,63,"Will Bitcoin reach $1,000,000 by December 31, 2035?",0.11
empty,complement,no,63,"Will Bitcoin fail to reach $1,000,000 by December 31, 2035?",0.83
omitted,partition,above,57,"Will Bitcoin's USD daily closing price on December 31, 2035 be above $1,000,000?",0.22
omitted,partition,not_above,57,"Will Bitcoin's USD daily closing price on December 31, 2035 be at or below $1,000,000?",0.77
empty,nested_time,short,64,"Will Bitcoin reach $1,000,000 by December 31, 2030?",0.06
empty,nested_time,long,64,"Will Bitcoin reach $1,000,000 by December 31, 2035?",0.09
omitted,partition,above,87,"Will Bitcoin's USD daily closing price on December 31, 2035 be above $1,000,000?",0.21
omitted,partition,not_above,87,"Will Bitcoin's USD daily closing price on December 31, 2035 be at or below $1,000,000?",0.75
paired,partition,above,20,"Will Bitcoin's USD daily closing price on December 31, 2035 be above $1,000,000?",0.23
paired,partition,not_above,20,"Will Bitcoin's USD daily closing price on December 31, 2035 be at or below $1,000,000?",0.72
empty,partition,above,87,"Will Bitcoin's USD daily closing price on December 31, 2035 be above $1,000,000?",0.18
empty,partition,not_above,87,"Will Bitcoin's USD daily closing price on December 31, 2035 be at or below $1,000,000?",0.7
omitted,nested_threshold,lower,13,"Will Bitcoin reach $1,000,000 by December 31, 2035?",0.1
omitted,nested_threshold,higher,13,"Will Bitcoin reach $100,000,000 by December 31, 2035?",0.02
empty,joint_bounds,one,48,"Will Bitcoin reach $1,000,000 by December 31, 2035?",0.11
empty,joint_bounds,ten,48,"Will Bitcoin reach $10,000,000 by December 31, 2035?",0.03
empty,joint_bounds,both,48,"Will Bitcoin reach both $1,000,000 and $10,000,000 by December 31, 2035?",0.06
omitted,joint_bounds,one,82,"Will Bitcoin reach $1,000,000 by December 31, 2035?",0.11
omitted,joint_bounds,ten,82,"Will Bitcoin reach $10,000,000 by December 31, 2035?",0.03
omitted,joint_bounds,both,82,"Will Bitcoin reach both $1,000,000 and $10,000,000 by December 31, 2035?",0.04
paired,complement,yes,63,"Will Bitcoin reach $1,000,000 by December 31, 2035?",0.2
paired,complement,no,63,"Will Bitcoin fail to reach $1,000,000 by December 31, 2035?",0.78
omitted,nested_threshold,lower,3,"Will Bitcoin reach $1,000,000 by December 31, 2035?",0.1
omitted,nested_threshold,higher,3,"Will Bitcoin reach $100,000,000 by December 31, 2035?",0.02
paired,complement,yes,48,"Will Bitcoin reach $1,000,000 by December 31, 2035?",0.23
paired,complement,no,48,"Will Bitcoin fail to reach $1,000,000 by December 31, 2035?",0.76
empty,complement,yes,91,"Will Bitcoin reach $1,000,000 by December 31, 2035?",0.14
empty,complement,no,91,"Will Bitcoin fail to reach $1,000,000 by December 31, 2035?",0.83
empty,joint_bounds,one,1,"Will Bitcoin reach $1,000,000 by December 31, 2035?",0.11
empty,joint_bounds,ten,1,"Will Bitcoin reach $10,000,000 by December 31, 2035?",0.04
empty,joint_bounds,both,1,"Will Bitcoin reach both $1,000,000 and $10,000,000 by December 31, 2035?",0.06
empty,nested_threshold,lower,90,"Will Bitcoin reach $1,000,000 by December 31, 2035?",0.1
empty,nested_threshold,higher,90,"Will Bitcoin reach $100,000,000 by December 31, 2035?",0.03
empty,complement,yes,31,"Will Bitcoin reach $1,000,000 by December 31, 2035?",0.11
empty,complement,no,31,"Will Bitcoin fail to reach $1,000,000 by December 31, 2035?",0.84
empty,joint_bounds,one,60,"Will Bitcoin reach $1,000,000 by December 31, 2035?",0.12
empty,joint_bounds,ten,60,"Will Bitcoin reach $10,000,000 by December 31, 2035?",0.03
empty,joint_bounds,both,60,"Will Bitcoin reach both $1,000,000 and $10,000,000 by December 31, 2035?",0.06
empty,nested_time,short,6,"Will Bitcoin reach $1,000,000 by December 31, 2030?",0.06
empty,nested_time,long,6,"Will Bitcoin reach $1,000,000 by December 31, 2035?",0.1
omitted,complement,yes,38,"Will Bitcoin reach $1,000,000 by December 31, 2035?",0.12
omitted,complement,no,38,"Will Bitcoin fail to reach $1,000,000 by December 31, 2035?",0.93
empty,nested_time,short,12,"Will Bitcoin reach $1,000,000 by December 31, 2030?",0.07
empty,nested_time,long,12,"Will Bitcoin reach $1,000,000 by December 31, 2035?",0.1
omitted,nested_threshold,lower,35,"Will Bitcoin reach $1,000,000 by December 31, 2035?",0.11
omitted,nested_threshold,higher,35,"Will Bitcoin reach $100,000,000 by December 31, 2035?",0.02
empty,complement,yes,10,"Will Bitcoin reach $1,000,000 by December 31, 2035?",0.12
empty,complement,no,10,"Will Bitcoin fail to reach $1,000,000 by December 31, 2035?",0.81
paired,partition,above,21,"Will Bitcoin's USD daily closing price on December 31, 2035 be above $1,000,000?",0.24
paired,partition,not_above,21,"Will Bitcoin's USD daily closing price on December 31, 2035 be at or below $1,000,000?",0.73
omitted,partition,above,50,"Will Bitcoin's USD daily closing price on December 31, 2035 be above $1,000,000?",0.22
omitted,partition,not_above,50,"Will Bitcoin's USD daily closing price on December 31, 2035 be at or below $1,000,000?",0.75
paired,nested_threshold,lower,20,"Will Bitcoin reach $1,000,000 by December 31, 2035?",0.11
paired,nested_threshold,higher,20,"Will Bitcoin reach $100,000,000 by December 31, 2035?",0.03
empty,nested_threshold,lower,69,"Will Bitcoin reach $1,000,000 by December 31, 2035?",0.12
empty,nested_threshold,higher,69,"Will Bitcoin reach $100,000,000 by December 31, 2035?",0.03
omitted,nested_threshold,lower,8,"Will Bitcoin reach $1,000,000 by December 31, 2035?",0.11
omitted,nested_threshold,higher,8,"Will Bitcoin reach $100,000,000 by December 31, 2035?",0.02
omitted,partition,above,73,"Will Bitcoin's USD daily closing price on December 31, 2035 be above $1,000,000?",0.21
omitted,partition,not_above,73,"Will Bitcoin's USD daily closing price on December 31, 2035 be at or below $1,000,000?",0.77
paired,nested_time,short,26,"Will Bitcoin reach $1,000,000 by December 31, 2030?",0.06
paired,nested_time,long,26,"Will Bitcoin reach $1,000,000 by December 31, 2035?",0.13
empty,partition,above,9,"Will Bitcoin's USD daily closing price on December 31, 2035 be above $1,000,000?",0.2
empty,partition,not_above,9,"Will Bitcoin's USD daily closing price on December 31, 2035 be at or below $1,000,000?",0.7
omitted,complement,yes,7,"Will Bitcoin reach $1,000,000 by December 31, 2035?",0.11
omitted,complement,no,7,"Will Bitcoin fail to reach $1,000,000 by December 31, 2035?",0.91
omitted,complement,yes,56,"Will Bitcoin reach $1,000,000 by December 31, 2035?",0.11
omitted,complement,no,56,"Will Bitcoin fail to reach $1,000,000 by December 31, 2035?",0.91
paired,nested_threshold,lower,67,"Will Bitcoin reach $1,000,000 by December 31, 2035?",0.12
paired,nested_threshold,higher,67,"Will Bitcoin reach $100,000,000 by December 31, 2035?",0.04
paired,partition,above,99,"Will Bitcoin's USD daily closing price on December 31, 2035 be above $1,000,000?",0.21
paired,partition,not_above,99,"Will Bitcoin's USD daily closing price on December 31, 2035 be at or below $1,000,000?",0.72
omitted,joint_bounds,one,33,"Will Bitcoin reach $1,000,000 by December 31, 2035?",0.1
omitted,joint_bounds,ten,33,"Will Bitcoin reach $10,000,000 by December 31, 2035?",0.03
omitted,joint_bounds,both,33,"Will Bitcoin reach both $1,000,000 and $10,000,000 by December 31, 2035?",0.03
omitted,complement,yes,10,"Will Bitcoin reach $1,000,000 by December 31, 2035?",0.11
omitted,complement,no,10,"Will Bitcoin fail to reach $1,000,000 by December 31, 2035?",0.92
empty,complement,yes,79,"Will Bitcoin reach $1,000,000 by December 31, 2035?",0.1
empty,complement,no,79,"Will Bitcoin fail to reach $1,000,000 by December 31, 2035?",0.81
paired,joint_bounds,one,89,"Will Bitcoin reach $1,000,000 by December 31, 2035?",0.21
paired,joint_bounds,ten,89,"Will Bitcoin reach $10,000,000 by December 31, 2035?",0.04
paired,joint_bounds,both,89,"Will Bitcoin reach both $1,000,000 and $10,000,000 by December 31, 2035?",0.06
paired,nested_time,short,6,"Will Bitcoin reach $1,000,000 by December 31, 2030?",0.07
paired,nested_time,long,6,"Will Bitcoin reach $1,000,000 by December 31, 2035?",0.11
omitted,nested_time,short,10,"Will Bitcoin reach $1,000,000 by December 31, 2030?",0.05
omitted,nested_time,long,10,"Will Bitcoin reach $1,000,000 by December 31, 2035?",0.13
paired,partition,above,17,"Will Bitcoin's USD daily closing price on December 31, 2035 be above $1,000,000?",0.22
paired,partition,not_above,17,"Will Bitcoin's USD daily closing price on December 31, 2035 be at or below $1,000,000?",0.75
paired,joint_bounds,one,15,"Will Bitcoin reach $1,000,000 by December 31, 2035?",0.22
paired,joint_bounds,ten,15,"Will Bitcoin reach $10,000,000 by December 31, 2035?",0.04
paired,joint_bounds,both,15,"Will Bitcoin reach both $1,000,000 and $10,000,000 by December 31, 2035?",0.07
paired,nested_threshold,lower,93,"Will Bitcoin reach $1,000,000 by December 31, 2035?",0.13
paired,nested_threshold,higher,93,"Will Bitcoin reach $100,000,000 by December 31, 2035?",0.03
paired,joint_bounds,one,44,"Will Bitcoin reach $1,000,000 by December 31, 2035?",0.18
paired,joint_bounds,ten,44,"Will Bitcoin reach $10,000,000 by December 31, 2035?",0.04
paired,joint_bounds,both,44,"Will Bitcoin reach both $1,000,000 and $10,000,000 by December 31, 2035?",0.07
paired,nested_threshold,lower,94,"Will Bitcoin reach $1,000,000 by December 31, 2035?",0.12
paired,nested_threshold,higher,94,"Will Bitcoin reach $100,000,000 by December 31, 2035?",0.03
omitted,nested_time,short,74,"Will Bitcoin reach $1,000,000 by December 31, 2030?",0.05
omitted,nested_time,long,74,"Will Bitcoin reach $1,000,000 by December 31, 2035?",0.11
omitted,nested_threshold,lower,51,"Will Bitcoin reach $1,000,000 by December 31, 2035?",0.11
omitted,nested_threshold,higher,51,"Will Bitcoin reach $100,000,000 by December 31, 2035?",0.02
empty,partition,above,80,"Will Bitcoin's USD daily closing price on December 31, 2035 be above $1,000,000?",0.2
empty,partition,not_above,80,"Will Bitcoin's USD daily closing price on December 31, 2035 be at or below $1,000,000?",0.72
omitted,partition,above,90,"Will Bitcoin's USD daily closing price on December 31, 2035 be above $1,000,000?",0.22
omitted,partition,not_above,90,"Will Bitcoin's USD daily closing price on December 31, 2035 be at or below $1,000,000?",0.76
paired,nested_time,short,60,"Will Bitcoin reach $1,000,000 by December 31, 2030?",0.07
paired,nested_time,long,60,"Will Bitcoin reach $1,000,000 by December 31, 2035?",0.14
omitted,joint_bounds,one,41,"Will Bitcoin reach $1,000,000 by December 31, 2035?",0.09
omitted,joint_bounds,ten,41,"Will Bitcoin reach $10,000,000 by December 31, 2035?",0.02
omitted,joint_bounds,both,41,"Will Bitcoin reach both $1,000,000 and $10,000,000 by December 31, 2035?",0.04
empty,partition,above,2,"Will Bitcoin's USD daily closing price on December 31, 2035 be above $1,000,000?",0.21
empty,partition,not_above,2,"Will Bitcoin's USD daily closing price on December 31, 2035 be at or below $1,000,000?",0.7
empty,complement,yes,68,"Will Bitcoin reach $1,000,000 by December 31, 2035?",0.11
empty,complement,no,68,"Will Bitcoin fail to reach $1,000,000 by December 31, 2035?",0.81
paired,nested_time,short,53,"Will Bitcoin reach $1,000,000 by December 31, 2030?",0.06
paired,nested_time,long,53,"Will Bitcoin reach $1,000,000 by December 31, 2035?",0.13
paired,nested_time,short,64,"Will Bitcoin reach $1,000,000 by December 31, 2030?",0.07
paired,nested_time,long,64,"Will Bitcoin reach $1,000,000 by December 31, 2035?",0.13
empty,partition,above,45,"Will Bitcoin's USD daily closing price on December 31, 2035 be above $1,000,000?",0.21
empty,partition,not_above,45,"Will Bitcoin's USD daily closing price on December 31, 2035 be at or below $1,000,000?",0.69
empty,joint_bounds,one,35,"Will Bitcoin reach $1,000,000 by December 31, 2035?",0.11
empty,joint_bounds,ten,35,"Will Bitcoin reach $10,000,000 by December 31, 2035?",0.03
empty,joint_bounds,both,35,"Will Bitcoin reach both $1,000,000 and $10,000,000 by December 31, 2035?",0.06
omitted,joint_bounds,one,75,"Will Bitcoin reach $1,000,000 by December 31, 2035?",0.08
omitted,joint_bounds,ten,75,"Will Bitcoin reach $10,000,000 by December 31, 2035?",0.03
omitted,joint_bounds,both,75,"Will Bitcoin reach both $1,000,000 and $10,000,000 by December 31, 2035?",0.03
paired,complement,yes,93,"Will Bitcoin reach $1,000,000 by December 31, 2035?",0.21
paired,complement,no,93,"Will Bitcoin fail to reach $1,000,000 by December 31, 2035?",0.76
empty,nested_time,short,38,"Will Bitcoin reach $1,000,000 by December 31, 2030?",0.07
empty,nested_time,long,38,"Will Bitcoin reach $1,000,000 by December 31, 2035?",0.11
empty,complement,yes,44,"Will Bitcoin reach $1,000,000 by December 31, 2035?",0.12
empty,complement,no,44,"Will Bitcoin fail to reach $1,000,000 by December 31, 2035?",0.82
omitted,nested_time,short,41,"Will Bitcoin reach $1,000,000 by December 31, 2030?",0.05
omitted,nested_time,long,41,"Will Bitcoin reach $1,000,000 by December 31, 2035?",0.09
omitted,partition,above,97,"Will Bitcoin's USD daily closing price on December 31, 2035 be above $1,000,000?",0.21
omitted,partition,not_above,97,"Will Bitcoin's USD daily closing price on December 31, 2035 be at or below $1,000,000?",0.77
paired,partition,above,84,"Will Bitcoin's USD daily closing price on December 31, 2035 be above $1,000,000?",0.21
paired,partition,not_above,84,"Will Bitcoin's USD daily closing price on December 31, 2035 be at or below $1,000,000?",0.74
omitted,joint_bounds,one,47,"Will Bitcoin reach $1,000,000 by December 31, 2035?",0.09
omitted,joint_bounds,ten,47,"Will Bitcoin reach $10,000,000 by December 31, 2035?",0.03
omitted,joint_bounds,both,47,"Will Bitcoin reach both $1,000,000 and $10,000,000 by December 31, 2035?",0.04
paired,nested_time,short,10,"Will Bitcoin reach $1,000,000 by December 31, 2030?",0.06
paired,nested_time,long,10,"Will Bitcoin reach $1,000,000 by December 31, 2035?",0.12
paired,nested_threshold,lower,86,"Will Bitcoin reach $1,000,000 by December 31, 2035?",0.13
paired,nested_threshold,higher,86,"Will Bitcoin reach $100,000,000 by December 31, 2035?",0.03
empty,partition,above,81,"Will Bitcoin's USD daily closing price on December 31, 2035 be above $1,000,000?",0.2
empty,partition,not_above,81,"Will Bitcoin's USD daily closing price on December 31, 2035 be at or below $1,000,000?",0.72
paired,joint_bounds,one,24,"Will Bitcoin reach $1,000,000 by December 31, 2035?",0.21
paired,joint_bounds,ten,24,"Will Bitcoin reach $10,000,000 by December 31, 2035?",0.04
paired,joint_bounds,both,24,"Will Bitcoin reach both $1,000,000 and $10,000,000 by December 31, 2035?",0.07
omitted,complement,yes,84,"Will Bitcoin reach $1,000,000 by December 31, 2035?",0.11
omitted,complement,no,84,"Will Bitcoin fail to reach $1,000,000 by December 31, 2035?",0.92
paired,nested_threshold,lower,61,"Will Bitcoin reach $1,000,000 by December 31, 2035?",0.13
paired,nested_threshold,higher,61,"Will Bitcoin reach $100,000,000 by December 31, 2035?",0.03
paired,partition,above,98,"Will Bitcoin's USD daily closing price on December 31, 2035 be above $1,000,000?",0.24
paired,partition,not_above,98,"Will Bitcoin's USD daily closing price on December 31, 2035 be at or below $1,000,000?",0.74
paired,joint_bounds,one,2,"Will Bitcoin reach $1,000,000 by December 31, 2035?",0.2
paired,joint_bounds,ten,2,"Will Bitcoin reach $10,000,000 by December 31, 2035?",0.04
paired,joint_bounds,both,2,"Will Bitcoin reach both $1,000,000 and $10,000,000 by December 31, 2035?",0.05
empty,nested_threshold,lower,93,"Will Bitcoin reach $1,000,000 by December 31, 2035?",0.1
empty,nested_threshold,higher,93,"Will Bitcoin reach $100,000,000 by December 31, 2035?",0.03
paired,nested_time,short,11,"Will Bitcoin reach $1,000,000 by December 31, 2030?",0.06
paired,nested_time,long,11,"Will Bitcoin reach $1,000,000 by December 31, 2035?",0.13
empty,joint_bounds,one,19,"Will Bitcoin reach $1,000,000 by December 31, 2035?",0.1
empty,joint_bounds,ten,19,"Will Bitcoin reach $10,000,000 by December 31, 2035?",0.03
empty,joint_bounds,both,19,"Will Bitcoin reach both $1,000,000 and $10,000,000 by December 31, 2035?",0.05
paired,nested_time,short,1,"Will Bitcoin reach $1,000,000 by December 31, 2030?",0.05
paired,nested_time,long,1,"Will Bitcoin reach $1,000,000 by December 31, 2035?",0.12
empty,nested_threshold,lower,33,"Will Bitcoin reach $1,000,000 by December 31, 2035?",0.1
empty,nested_threshold,higher,33,"Will Bitcoin reach $100,000,000 by December 31, 2035?",0.03
empty,nested_threshold,lower,7,"Will Bitcoin reach $1,000,000 by December 31, 2035?",0.1
empty,nested_threshold,higher,7,"Will Bitcoin reach $100,000,000 by December 31, 2035?",0.03
omitted,joint_bounds,one,74,"Will Bitcoin reach $1,000,000 by December 31, 2035?",0.09
omitted,joint_bounds,ten,74,"Will Bitcoin reach $10,000,000 by December 31, 2035?",0.03
omitted,joint_bounds,both,74,"Will Bitcoin reach both $1,000,000 and $10,000,000 by December 31, 2035?",0.04
paired,complement,yes,89,"Will Bitcoin reach $1,000,000 by December 31, 2035?",0.2
paired,complement,no,89,"Will Bitcoin fail to reach $1,000,000 by December 31, 2035?",0.78
empty,nested_time,short,71,"Will Bitcoin reach $1,000,000 by December 31, 2030?",0.07
empty,nested_time,long,71,"Will Bitcoin reach $1,000,000 by December 31, 2035?",0.11
paired,nested_time,short,43,"Will Bitcoin reach $1,000,000 by December 31, 2030?",0.06
paired,nested_time,long,43,"Will Bitcoin reach $1,000,000 by December 31, 2035?",0.12
paired,joint_bounds,one,34,"Will Bitcoin reach $1,000,000 by December 31, 2035?",0.19
paired,joint_bounds,ten,34,"Will Bitcoin reach $10,000,000 by December 31, 2035?",0.04
paired,joint_bounds,both,34,"Will Bitcoin reach both $1,000,000 and $10,000,000 by December 31, 2035?",0.06
omitted,partition,above,14,"Will Bitcoin's USD daily closing price on December 31, 2035 be above $1,000,000?",0.22
omitted,partition,not_above,14,"Will Bitcoin's USD daily closing price on December 31, 2035 be at or below $1,000,000?",0.74
empty,complement,yes,36,"Will Bitcoin reach $1,000,000 by December 31, 2035?",0.12
empty,complement,no,36,"Will Bitcoin fail to reach $1,000,000 by December 31, 2035?",0.83
paired,nested_time,short,17,"Will Bitcoin reach $1,000,000 by December 31, 2030?",0.06
paired,nested_time,long,17,"Will Bitcoin reach $1,000,000 by December 31, 2035?",0.14
empty,nested_time,short,97,"Will Bitcoin reach $1,000,000 by December 31, 2030?",0.06
empty,nested_time,long,97,"Will Bitcoin reach $1,000,000 by December 31, 2035?",0.12
omitted,partition,above,32,"Will Bitcoin's USD daily closing price on December 31, 2035 be above $1,000,000?",0.24
omitted,partition,not_above,32,"Will Bitcoin's USD daily closing price on December 31, 2035 be at or below $1,000,000?",0.77
paired,complement,yes,59,"Will Bitcoin reach $1,000,000 by December 31, 2035?",0.21
paired,complement,no,59,"Will Bitcoin fail to reach $1,000,000 by December 31, 2035?",0.75
empty,nested_time,short,65,"Will Bitcoin reach $1,000,000 by December 31, 2030?",0.07
empty,nested_time,long,65,"Will Bitcoin reach $1,000,000 by December 31, 2035?",0.1
omitted,nested_threshold,lower,23,"Will Bitcoin reach $1,000,000 by December 31, 2035?",0.09
omitted,nested_threshold,higher,23,"Will Bitcoin reach $100,000,000 by December 31, 2035?",0.02
empty,nested_time,short,94,"Will Bitcoin reach $1,000,000 by December 31, 2030?",0.08
empty,nested_time,long,94,"Will Bitcoin reach $1,000,000 by December 31, 2035?",0.12
omitted,partition,above,10,"Will Bitcoin's USD daily closing price on December 31, 2035 be above $1,000,000?",0.24
omitted,partition,not_above,10,"Will Bitcoin's USD daily closing price on December 31, 2035 be at or below $1,000,000?",0.74
empty,complement,yes,35,"Will Bitcoin reach $1,000,000 by December 31, 2035?",0.1
empty,complement,no,35,"Will Bitcoin fail to reach $1,000,000 by December 31, 2035?",0.84
omitted,joint_bounds,one,12,"Will Bitcoin reach $1,000,000 by December 31, 2035?",0.1
omitted,joint_bounds,ten,12,"Will Bitcoin reach $10,000,000 by December 31, 2035?",0.03
omitted,joint_bounds,both,12,"Will Bitcoin reach both $1,000,000 and $10,000,000 by December 31, 2035?",0.04
empty,partition,above,68,"Will Bitcoin's USD daily closing price on December 31, 2035 be above $1,000,000?",0.19
empty,partition,not_above,68,"Will Bitcoin's USD daily closing price on December 31, 2035 be at or below $1,000,000?",0.71
empty,complement,yes,38,"Will Bitcoin reach $1,000,000 by December 31, 2035?",0.1
empty,complement,no,38,"Will Bitcoin fail to reach $1,000,000 by December 31, 2035?",0.82
paired,partition,above,50,"Will Bitcoin's USD daily closing price on December 31, 2035 be above $1,000,000?",0.25
paired,partition,not_above,50,"Will Bitcoin's USD daily closing price on December 31, 2035 be at or below $1,000,000?",0.72
paired,complement,yes,83,"Will Bitcoin reach $1,000,000 by December 31, 2035?",0.23
paired,complement,no,83,"Will Bitcoin fail to reach $1,000,000 by December 31, 2035?",0.76
omitted,nested_threshold,lower,37,"Will Bitcoin reach $1,000,000 by December 31, 2035?",0.11
omitted,nested_threshold,higher,37,"Will Bitcoin reach $100,000,000 by December 31, 2035?",0.02
paired,complement,yes,49,"Will Bitcoin reach $1,000,000 by December 31, 2035?",0.19
paired,complement,no,49,"Will Bitcoin fail to reach $1,000,000 by December 31, 2035?",0.78
paired,joint_bounds,one,4,"Will Bitcoin reach $1,000,000 by December 31, 2035?",0.2
paired,joint_bounds,ten,4,"Will Bitcoin reach $10,000,000 by December 31, 2035?",0.03
paired,joint_bounds,both,4,"Will Bitcoin reach both $1,000,000 and $10,000,000 by December 31, 2035?",0.07
omitted,complement,yes,60,"Will Bitcoin reach $1,000,000 by December 31, 2035?",0.09
omitted,complement,no,60,"Will Bitcoin fail to reach $1,000,000 by December 31, 2035?",0.92
paired,nested_time,short,61,"Will Bitcoin reach $1,000,000 by December 31, 2030?",0.06
paired,nested_time,long,61,"Will Bitcoin reach $1,000,000 by December 31, 2035?",0.13
paired,nested_threshold,lower,36,"Will Bitcoin reach $1,000,000 by December 31, 2035?",0.12
paired,nested_threshold,higher,36,"Will Bitcoin reach $100,000,000 by December 31, 2035?",0.03
omitted,joint_bounds,one,71,"Will Bitcoin reach $1,000,000 by December 31, 2035?",0.1
omitted,joint_bounds,ten,71,"Will Bitcoin reach $10,000,000 by December 31, 2035?",0.03
omitted,joint_bounds,both,71,"Will Bitcoin reach both $1,000,000 and $10,000,000 by December 31, 2035?",0.04
